sip, dip, sport, dport, proto, n_packets, length_max, length_min, length_sum, length_ave, length_std, interval_max, interval_min, interval_sum, interval_ave, interval_std,n_dir_change, freq_dir_change, go_n_packets, go_length_max, go_length_min, go_length_sum, go_length_ave, go_length_std, go_length_first, back_n_packets, back_length_max, back_length_min, back_length_sum, back_length_ave, back_length_std, back_length_first
147.32.84.165,205.188.190.2,2487,25,6,3,48,48,144,48.0,0.0,6.027274131774902,2.964108943939209,8.991383075714111,4.495691537857056,1.5315825939178467,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,220.194.21.2,1518,6667,6,2,48,48,96,48.0,0.0,3.003718852996826,3.003718852996826,3.003718852996826,3.003718852996826,0.0,0,0.0,2,48,48,96,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,174.133.57.141,4328,80,6,11,1500,40,2579,234.45454545454547,419.62956903275006,0.1685628890991211,5.9604644775390625e-06,0.5036978721618652,0.050369787216186526,0.07652475749931056,5,0.5,6,398,40,606,101.0,132.85455706649032,48,5,1500,40,1973,394.6,564.9749020974294,48,
147.32.84.165,76.96.30.116,1797,25,6,3,48,48,144,48.0,0.0,5.90521502494812,3.007812023162842,8.913027048110962,4.456513524055481,1.4487015008926392,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,216.32.181.178,1183,25,6,3,48,48,144,48.0,0.0,6.0069029331207275,3.0062801837921143,9.013183116912842,4.506591558456421,1.5003113746643066,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,209.85.225.27,2634,25,6,3,48,48,144,48.0,0.0,6.009008884429932,3.004110097885132,9.013118982315063,4.506559491157532,1.5024493932724,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,93.170.24.114,4094,25,6,3,48,48,144,48.0,0.0,6.008618116378784,3.0046088695526123,9.013226985931396,4.506613492965698,1.502004623413086,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,209.85.225.27,1216,25,6,3,48,48,144,48.0,0.0,6.008167028427124,2.904237985610962,8.912405014038086,4.456202507019043,1.551964521408081,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,72.14.213.27,2312,25,6,3,48,48,144,48.0,0.0,6.008819103240967,3.004110813140869,9.012929916381836,4.506464958190918,1.5023541450500488,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,64.12.90.1,3001,25,6,3,48,48,144,48.0,0.0,5.908358812332153,3.0045101642608643,8.912868976593018,4.456434488296509,1.4519243240356445,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,173.192.170.88,2577,80,6,13,227,40,1308,100.61538461538461,84.3213071544594,24.034799098968506,0.00027298927307128906,45.465556144714355,3.788796345392863,6.57160958668294,7,0.5833333333333334,9,227,40,1124,124.88888888888889,91.37765888448814,48,4,48,40,184,46.0,3.4641016151377544,48,
147.32.84.165,66.94.237.64,4541,25,6,3,48,48,144,48.0,0.0,6.005642890930176,3.0072431564331055,9.012886047363281,4.506443023681641,1.4991998672485352,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,66.94.237.64,4067,25,6,3,48,48,144,48.0,0.0,6.0103278160095215,3.0042591094970703,9.014586925506592,4.507293462753296,1.5030343532562256,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,81.176.76.66,2077,53,17,4,172,56,455,113.75,56.7643153750664,8818.93745303154,0.06632614135742188,8820.675014019012,2940.225004673004,4156.877488516045,3,1.0,2,58,56,114,57.0,1.0,56,2,172,169,341,170.5,1.5,172,
147.32.84.165,62.109.2.254,3957,25,6,6,48,48,288,48.0,0.0,15.021928071975708,3.0044100284576416,33.04784393310547,6.609568786621094,4.415530814508533,0,0.0,6,48,48,288,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,64.12.139.193,4220,25,6,3,48,48,144,48.0,0.0,5.908241033554077,3.0045130252838135,8.91275405883789,4.456377029418945,1.4518640041351318,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,194.88.14.126,2077,53,17,2,145,61,206,103.0,42.0,0.11556792259216309,0.11556792259216309,0.11556792259216309,0.11556792259216309,0.0,1,1.0,1,61,61,61,61,0.0,61,1,145,145,145,145,0.0,145,
147.32.84.165,77.88.21.89,2707,25,6,3,48,48,144,48.0,0.0,6.008522987365723,3.0038468837738037,9.012369871139526,4.506184935569763,1.5023380517959595,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,74.125.39.27,2296,25,6,3,48,48,144,48.0,0.0,6.008845090866089,3.0009360313415527,9.009781122207642,4.504890561103821,1.503954529762268,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,209.216.203.75,2079,53,17,20,57,57,1140,57.0,0.0,21.115587949752808,4.006228923797607,169.80934190750122,8.937333784605327,4.951395627577458,0,0.0,20,57,57,1140,57.0,0.0,57,0,0,0,0,0,0.0,0,
147.32.84.165,212.117.174.7,3392,4506,6,3,48,48,144,48.0,0.0,6.008494138717651,3.0042190551757812,9.012713193893433,4.506356596946716,1.502137541770935,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,194.85.88.229,3985,25,6,3,48,48,144,48.0,0.0,5.906719923019409,3.0063889026641846,8.913108825683594,4.456554412841797,1.4501655101776123,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,199.254.49.1,2077,53,17,2,144,59,203,101.5,42.5,0.01640796661376953,0.01640796661376953,0.01640796661376953,0.01640796661376953,0.0,1,1.0,1,59,59,59,59,0.0,59,1,144,144,144,144,0.0,144,
147.32.84.165,173.236.81.226,1481,3817,6,7,48,40,296,42.285714285714285,3.614031611621003,0.2956979274749756,0.0002498626708984375,0.5490970611572266,0.09151617685953777,0.10723374336905005,5,0.8333333333333334,4,48,40,168,42.0,3.4641016151377544,48,3,48,40,128,42.666666666666664,3.771236166328277,48,
147.32.84.165,208.84.66.208,2077,53,17,2,207,67,274,137.0,70.0,0.18605494499206543,0.18605494499206543,0.18605494499206543,0.18605494499206543,0.0,1,1.0,1,67,67,67,67,0.0,67,1,207,207,207,207,0.0,207,
147.32.84.165,205.188.146.193,1819,25,6,3,48,48,144,48.0,0.0,6.009035110473633,2.985200881958008,8.99423599243164,4.49711799621582,1.5119171142578125,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,64.12.90.65,4697,25,6,3,48,48,144,48.0,0.0,6.0088160037994385,3.001801013946533,9.010617017745972,4.505308508872986,1.5035074949264526,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,98.139.175.224,2648,25,6,3,48,48,144,48.0,0.0,6.0086658000946045,3.0044870376586914,9.013152837753296,4.506576418876648,1.5020893812179565,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,81.21.255.1,2077,53,17,2,176,56,232,116.0,60.0,0.0610201358795166,0.0610201358795166,0.0610201358795166,0.0610201358795166,0.0,1,1.0,1,56,56,56,56,0.0,56,1,176,176,176,176,0.0,176,
147.32.84.165,64.12.90.97,1475,25,6,1,48,48,48,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,48,48,48,48,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,61.17.216.94,3287,6667,6,4,48,40,176,44.0,4.0,0.19469594955444336,0.0004930496215820312,0.19823384284973145,0.06607794761657715,0.09095262770654414,2,0.6666666666666666,3,48,40,128,42.666666666666664,3.771236166328277,48,1,48,48,48,48,0.0,48,
147.32.84.165,123.27.93.41,2412,6667,6,3,48,48,144,48.0,0.0,6.009433031082153,3.0039620399475098,9.013395071029663,4.5066975355148315,1.5027354955673218,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,98.139.175.224,4636,25,6,3,48,48,144,48.0,0.0,6.008960962295532,3.004331111907959,9.013292074203491,4.506646037101746,1.5023149251937866,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,212.117.174.7,2965,4506,6,6,48,48,288,48.0,0.0,3308.489907026291,3.0044610500335693,3326.516065120697,665.3032130241394,1321.5940296778545,0,0.0,6,48,48,288,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,80.78.247.142,2077,53,17,2,168,60,228,114.0,54.0,0.0573270320892334,0.0573270320892334,0.0573270320892334,0.0573270320892334,0.0,1,1.0,1,60,60,60,60,0.0,60,1,168,168,168,168,0.0,168,
147.32.84.165,67.212.178.226,2077,53,17,2,178,55,233,116.5,61.5,0.13614678382873535,0.13614678382873535,0.13614678382873535,0.13614678382873535,0.0,1,1.0,1,55,55,55,55,0.0,55,1,178,178,178,178,0.0,178,
147.32.84.165,195.113.232.81,1220,80,6,11,1500,40,2609,237.1818181818182,423.1077271338005,17.401400089263916,7.152557373046875e-06,17.4047691822052,1.74047691822052,5.220307729078221,6,0.6,6,506,40,714,119.0,173.09631230425833,48,5,1500,40,1895,379.0,566.5834448693325,48,
147.32.84.165,98.139.54.60,1402,25,6,3,48,48,144,48.0,0.0,6.009278059005737,3.0039069652557373,9.013185024261475,4.506592512130737,1.502685546875,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,209.216.39.163,4244,25,6,3,48,48,144,48.0,0.0,6.009048938751221,3.004124164581299,9.01317310333252,4.50658655166626,1.502462387084961,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,91.221.71.45,2077,53,17,46,267,53,7375,160.32608695652175,105.51015907151684,8617.60618519783,0.0005941390991210938,8629.446220874786,191.76547157499525,1270.2437353572225,45,1.0,23,56,53,1261,54.82608695652174,1.4641268035201507,53,23,267,264,6114,265.82608695652175,1.4641268035190638,264,
147.32.84.165,89.108.81.57,2077,53,17,2,162,60,222,111.0,51.0,0.05745100975036621,0.05745100975036621,0.05745100975036621,0.05745100975036621,0.0,1,1.0,1,60,60,60,60,0.0,60,1,162,162,162,162,0.0,162,
147.32.84.165,188.138.90.25,1382,25,6,3,48,48,144,48.0,0.0,6.0087571144104,2.980968952178955,8.989726066589355,4.494863033294678,1.5138940811157227,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,209.85.225.27,3051,25,6,3,48,48,144,48.0,0.0,6.009040117263794,3.0040080547332764,9.01304817199707,4.506524085998535,1.5025160312652588,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,209.85.225.27,2696,25,6,3,48,48,144,48.0,0.0,6.008285999298096,3.002310037612915,9.01059603691101,4.505298018455505,1.5029879808425903,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,74.222.3.26,1660,443,6,6,48,40,264,44.0,4.0,0.4223029613494873,0.17808008193969727,1.3797030448913574,0.2759406089782715,0.11948123906083558,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40,
147.32.84.165,212.117.174.7,1730,4506,6,6,48,48,288,48.0,0.0,72.50463008880615,3.004240036010742,90.43282794952393,18.086565589904787,27.24113537388758,0,0.0,6,48,48,288,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,204.232.236.252,4282,25,6,3,48,48,144,48.0,0.0,6.006882905960083,3.0058701038360596,9.012753009796143,4.506376504898071,1.5005064010620117,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,31.192.109.167,1324,80,6,10,269,40,839,83.9,84.2216717953283,0.08288288116455078,5.9604644775390625e-06,0.24976181983947754,0.027751313315497503,0.037782029055682356,5,0.5555555555555556,5,269,40,437,87.4,90.85284805662396,48,5,234,40,402,80.4,76.86247458935992,48,
147.32.84.165,95.131.24.100,2079,53,17,2,174,64,238,119.0,55.0,0.06753683090209961,0.06753683090209961,0.06753683090209961,0.06753683090209961,0.0,1,1.0,1,64,64,64,64,0.0,64,1,174,174,174,174,0.0,174,
147.32.84.165,212.117.174.7,4560,4506,6,3,48,48,144,48.0,0.0,5.693243026733398,3.8740170001983643,9.567260026931763,4.783630013465881,0.9096130132675171,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,209.85.225.27,2822,25,6,3,48,48,144,48.0,0.0,6.008075952529907,3.004786968231201,9.012862920761108,4.506431460380554,1.501644492149353,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,208.84.244.133,4471,25,6,3,48,48,144,48.0,0.0,6.008388042449951,3.004828929901123,9.013216972351074,4.506608486175537,1.501779556274414,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,217.73.194.104,2077,53,17,4,100,57,293,73.25,16.467771555374455,486.8032751083374,0.056478023529052734,486.9175400733948,162.3058466911316,229.45433211202476,3,1.0,2,63,57,120,60.0,3.0,57,2,100,73,173,86.5,13.5,73,
147.32.84.165,82.194.66.206,4261,25,6,3,48,48,144,48.0,0.0,6.009152173995972,3.004451036453247,9.013603210449219,4.506801605224609,1.5023505687713623,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,217.18.208.148,2478,25,6,3,48,48,144,48.0,0.0,6.008799076080322,2.9215478897094727,8.930346965789795,4.4651734828948975,1.5436255931854248,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,205.188.190.1,1141,25,6,3,48,48,144,48.0,0.0,6.008338928222656,2.942875862121582,8.951214790344238,4.475607395172119,1.532731533050537,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,151.151.26.141,2981,25,6,3,48,48,144,48.0,0.0,6.019352912902832,2.962278127670288,8.98163104057312,4.49081552028656,1.528537392616272,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,205.188.190.1,4628,25,6,3,48,48,144,48.0,0.0,6.008342981338501,3.004318952560425,9.012661933898926,4.506330966949463,1.502012014389038,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,212.117.174.7,1470,4506,6,3,48,48,144,48.0,0.0,6.006657838821411,3.0063631534576416,9.013020992279053,4.506510496139526,1.5001473426818848,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,64.12.90.65,2289,25,6,3,48,48,144,48.0,0.0,6.008840799331665,3.004033088684082,9.012873888015747,4.5064369440078735,1.5024038553237915,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,222.88.205.195,1835,443,6,13,164,40,1280,98.46153846153847,58.04058975554605,47.96876788139343,0.00025391578674316406,93.33423089981079,7.777852574984233,13.965838797395335,6,0.5,10,164,40,1152,115.2,56.22241545860511,48,3,48,40,128,42.666666666666664,3.771236166328277,48,
147.32.84.165,195.146.81.131,4962,25,6,3,48,48,144,48.0,0.0,6.008584022521973,3.0043129920959473,9.01289701461792,4.50644850730896,1.5021355152130127,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,68.67.179.213,4778,80,6,8,604,40,1229,153.625,200.99125447391984,1.0323588848114014,0.00022602081298828125,1.212467908859253,0.17320970126560756,0.3529485813201314,4,0.5714285714285714,5,369,40,537,107.4,130.83669210126033,48,3,604,40,692,230.66666666666666,264.006733920852,48,
147.32.84.165,218.248.255.243,1221,6667,6,3,48,48,144,48.0,0.0,5.908820867538452,3.0042929649353027,8.913113832473755,4.456556916236877,1.4522639513015747,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,64.12.90.33,3479,25,6,3,48,48,144,48.0,0.0,6.008692026138306,3.0040290355682373,9.012721061706543,4.5063605308532715,1.5023314952850342,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,77.246.145.1,2077,53,17,2,174,59,233,116.5,57.5,0.056960105895996094,0.056960105895996094,0.056960105895996094,0.056960105895996094,0.0,1,1.0,1,59,59,59,59,0.0,59,1,174,174,174,174,0.0,174,
147.32.84.165,212.117.171.138,1289,65500,6,31,462,40,2092,67.48387096774194,81.3133607907097,85.3818838596344,0.00023818016052246094,87.40086579322815,2.913362193107605,15.314443172920509,21,0.7,15,462,40,1351,90.06666666666666,112.27256516571131,48,16,62,40,741,46.3125,8.175563818477597,48,
147.32.84.165,174.36.246.56,2579,80,6,13,1500,40,6294,484.15384615384613,605.5611315331166,0.12101197242736816,4.0531158447265625e-06,0.4655420780181885,0.03879517316818237,0.054099991094633794,5,0.4166666666666667,6,744,40,952,158.66666666666666,261.78532341511345,48,7,1500,40,5342,763.1428571428571,673.5270550449708,44,
147.32.84.165,174.133.57.141,4813,80,6,11,1500,40,2579,234.45454545454547,419.62956903275006,0.16461992263793945,4.0531158447265625e-06,0.487246036529541,0.0487246036529541,0.07382685342475723,5,0.5,6,398,40,606,101.0,132.85455706649032,48,5,1500,40,1973,394.6,564.9749020974294,48,
147.32.84.165,31.192.109.167,1963,80,6,10,269,40,839,83.9,84.2216717953283,0.07873201370239258,5.3882598876953125e-05,0.23683691024780273,0.02631521224975586,0.03589776353262476,5,0.5555555555555556,5,269,40,437,87.4,90.85284805662396,48,5,234,40,402,80.4,76.86247458935992,48,
147.32.84.165,204.127.217.16,2727,25,6,3,48,48,144,48.0,0.0,6.0087010860443115,2.986738920211792,8.995440006256104,4.497720003128052,1.5109810829162598,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,94.245.120.86,2946,25,6,3,48,48,144,48.0,0.0,6.020392894744873,3.0083580017089844,9.028750896453857,4.514375448226929,1.5060174465179443,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,117.204.67.227,4569,6667,6,3,48,48,144,48.0,0.0,6.007982015609741,3.003427028656006,9.011409044265747,4.5057045221328735,1.5022774934768677,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,74.122.245.36,3726,25,6,3,48,48,144,48.0,0.0,6.008210182189941,3.0049169063568115,9.013127088546753,4.5065635442733765,1.501646637916565,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,212.158.161.57,2077,53,17,2,223,55,278,139.0,84.0,0.07379913330078125,0.07379913330078125,0.07379913330078125,0.07379913330078125,0.0,1,1.0,1,55,55,55,55,0.0,55,1,223,223,223,223,0.0,223,
147.32.84.165,209.85.143.27,4529,25,6,3,48,48,144,48.0,0.0,5.766000986099243,3.8175861835479736,9.583587169647217,4.791793584823608,0.9742074012756348,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,205.188.190.1,1126,25,6,3,48,48,144,48.0,0.0,6.008813142776489,3.004297971725464,9.013111114501953,4.506555557250977,1.5022575855255127,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,68.67.185.209,4808,80,6,10,774,40,1423,142.3,225.55711028473476,9.882404088973999,0.0003421306610107422,10.873099088668823,1.2081221209632025,3.076863832002177,6,0.6666666666666666,6,313,40,521,86.83333333333333,101.18698313298779,48,4,774,40,902,225.5,316.693463778462,48,
147.32.84.165,98.139.175.224,2270,25,6,3,48,48,144,48.0,0.0,6.019381046295166,2.9637999534606934,8.98318099975586,4.49159049987793,1.5277905464172363,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,173.186.244.141,3028,25,6,3,48,48,144,48.0,0.0,6.008597135543823,3.004218816757202,9.012815952301025,4.506407976150513,1.5021891593933105,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,67.195.168.230,2281,25,6,3,48,48,144,48.0,0.0,5.864504098892212,2.720721960067749,8.585226058959961,4.2926130294799805,1.5718910694122314,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,173.192.170.88,2098,80,6,28,1363,40,4418,157.78571428571428,254.9294520258577,54.291419982910156,8.106231689453125e-06,84.51279592514038,3.1301035527829772,10.230878329845252,18,0.6666666666666666,15,267,40,1297,86.46666666666667,90.30604753958741,48,13,1363,40,3121,240.07692307692307,343.4032080712256,48,
147.32.84.165,98.139.175.224,1814,25,6,3,48,48,144,48.0,0.0,6.005312919616699,2.987581968307495,8.992894887924194,4.496447443962097,1.508865475654602,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,91.218.38.36,4562,25,6,3,48,48,144,48.0,0.0,6.009521961212158,2.9820070266723633,8.991528987884521,4.495764493942261,1.5137574672698975,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,205.188.190.1,4622,25,6,3,48,48,144,48.0,0.0,6.008840084075928,3.004136085510254,9.012976169586182,4.506488084793091,1.502351999282837,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,195.113.232.99,3912,80,6,8,543,40,1035,129.375,168.68975776555018,0.5371100902557373,0.00028896331787109375,0.7380990982055664,0.10544272831508092,0.18900031636848055,4,0.5714285714285714,5,543,40,711,142.2,200.423950664585,48,3,236,40,324,108.0,90.56857438795572,48,
147.32.84.165,193.200.35.4,2079,53,17,2,203,61,264,132.0,71.0,0.0639641284942627,0.0639641284942627,0.0639641284942627,0.0639641284942627,0.0,1,1.0,1,61,61,61,61,0.0,61,1,203,203,203,203,0.0,203,
147.32.84.165,183.83.70.111,1767,6667,6,3,48,48,144,48.0,0.0,6.00841498374939,3.0042879581451416,9.012702941894531,4.506351470947266,1.502063512802124,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
192.228.79.205,147.32.84.165,53,2079,17,1,450,450,450,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,450,450,450,450,0.0,450,0,0,0,0,0,0.0,0,
147.32.84.165,81.176.68.147,2079,53,17,4,146,60,412,103.0,43.0,8.17751693725586,0.06403613090515137,8.30569314956665,2.7685643831888833,3.8247070303324913,3,1.0,2,60,60,120,60.0,0.0,60,2,146,146,292,146.0,0.0,146,
147.32.84.165,74.125.43.27,4056,25,6,3,48,48,144,48.0,0.0,6.008724927902222,3.004220962524414,9.012945890426636,4.506472945213318,1.5022519826889038,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,65.54.188.110,1081,25,6,3,48,48,144,48.0,0.0,6.008776903152466,3.004305124282837,9.013082027435303,4.506541013717651,1.5022358894348145,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,78.108.81.247,2079,53,17,16,237,54,1506,94.125,57.638826974531675,5802.50994682312,0.06604695320129395,9970.782960176468,664.7188640117645,1443.4995165562163,15,1.0,8,60,54,463,57.875,1.6909686573085854,54,8,237,79,1043,130.375,63.352066856575405,131,
147.32.84.165,174.36.246.56,3147,80,6,23,1500,40,13123,570.5652173913044,682.2218704565989,0.12081789970397949,3.814697265625e-06,0.40309786796569824,0.018322630362077194,0.04133716423097636,5,0.22727272727272727,11,470,40,878,79.81818181818181,123.4075422638475,48,12,1500,40,12245,1020.4166666666666,674.5205035595451,44,
147.32.84.165,74.6.136.244,1652,25,6,3,48,48,144,48.0,0.0,6.0084068775177,2.90472412109375,8.91313099861145,4.456565499305725,1.551841378211975,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,212.117.174.7,2700,4506,6,3,48,48,144,48.0,0.0,6.004759073257446,2.970181941986084,8.97494101524353,4.487470507621765,1.5172885656356812,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,174.123.87.100,3072,25,6,3,48,48,144,48.0,0.0,6.008736848831177,3.003993034362793,9.01272988319397,4.506364941596985,1.502371907234192,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,209.85.225.27,4867,25,6,3,48,48,144,48.0,0.0,6.008523941040039,3.004241943359375,9.012765884399414,4.506382942199707,1.502140998840332,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,62.109.189.240,2077,53,17,2,115,59,174,87.0,28.0,0.075714111328125,0.075714111328125,0.075714111328125,0.075714111328125,0.0,1,1.0,1,59,59,59,59,0.0,59,1,115,115,115,115,0.0,115,
147.32.84.165,89.111.176.244,1064,25,6,3,48,48,144,48.0,0.0,5.471230983734131,4.152163982391357,9.623394966125488,4.811697483062744,0.6595335006713867,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0,
147.32.84.165,66.230.167.227,2079,53,17,4,162,63,450,112.5,48.51030818290067,5919.169934988022,0.09662103652954102,5919.387084007263,1973.1290280024211,2790.272284186102,3,1.0,2,65,63,128,64.0,1.0,63,2,162,160,322,161.0,1.0,160,
