sip, dip, sport, dport, proto, n_packets, length_max, length_min, length_sum, length_ave, length_std, interval_max, interval_min, interval_sum, interval_ave, interval_std,n_dir_change, freq_dir_change, go_n_packets, go_length_max, go_length_min, go_length_sum, go_length_ave, go_length_std, go_length_first, back_n_packets, back_length_max, back_length_min, back_length_sum, back_length_ave, back_length_std, back_length_first
147.32.84.170,147.32.80.9,59612,53,17,2,312,60,372,186.0,126.0,0.0004100799560546875,0.0004100799560546875,0.0004100799560546875,0.0004100799560546875,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,147.32.80.9,39320,53,17,2,312,60,372,186.0,126.0,0.0003719329833984375,0.0003719329833984375,0.0003719329833984375,0.0003719329833984375,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,74.125.232.213,58707,443,6,38,1470,52,5351,140.81578947368422,244.7115224593577,29.969171047210693,6.9141387939453125e-06,243.36210203170776,6.577354108965075,11.621253564923212,30,0.8108108108108109,21,1470,52,3381,161.0,317.52735165276556,60,17,456,52,1970,115.88235294117646,90.47643980158344,60,
147.32.84.170,147.32.80.9,41145,53,17,2,312,60,372,186.0,126.0,0.00046515464782714844,0.00046515464782714844,0.00046515464782714844,0.00046515464782714844,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.164,147.32.80.9,47603,53,17,2,228,71,299,149.5,78.5,0.0003399848937988281,0.0003399848937988281,0.0003399848937988281,0.0003399848937988281,0.0,1,1.0,1,71,71,71,71,0.0,71,1,228,228,228,228,0.0,228,
147.32.84.170,147.32.80.9,36950,53,17,2,312,60,372,186.0,126.0,0.0003609657287597656,0.0003609657287597656,0.0003609657287597656,0.0003609657287597656,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,147.32.80.9,50433,53,17,2,312,60,372,186.0,126.0,0.00030112266540527344,0.00030112266540527344,0.00030112266540527344,0.00030112266540527344,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,147.32.80.9,57192,53,17,4,312,60,588,147.0,101.48645229783136,851.1208698749542,0.000244140625,851.1213850975037,283.70712836583454,401.2221043595295,3,1.0,2,67,60,127,63.5,3.5,67,2,312,149,461,230.5,81.5,149,
147.32.84.170,147.32.80.9,57411,53,17,2,185,67,252,126.0,59.0,0.00026488304138183594,0.00026488304138183594,0.00026488304138183594,0.00026488304138183594,0.0,1,1.0,1,67,67,67,67,0.0,67,1,185,185,185,185,0.0,185,
147.32.84.170,209.85.148.147,57891,80,6,7,60,52,380,54.285714285714285,3.6140316116210345,0.008919000625610352,8.106231689453125e-06,0.0181429386138916,0.003023823102315267,0.004158331675473224,4,0.6666666666666666,4,60,52,216,54.0,3.4641016151377544,60,3,60,52,164,54.666666666666664,3.7712361663282468,60,
147.32.84.170,195.24.233.55,41445,80,6,10,384,52,1079,107.9,111.1867348203013,0.09579014778137207,0.00011420249938964844,0.20528101921081543,0.022809002134535048,0.028848673052782315,5,0.5555555555555556,5,263,52,479,95.8,83.65739656479874,60,5,384,52,600,120.0,132.03635862897764,60,
147.32.84.170,209.85.148.103,57067,80,6,7,60,52,380,54.285714285714285,3.6140316116210345,0.009103059768676758,7.700920104980469e-05,0.018354177474975586,0.0030590295791625977,0.004129691431308702,4,0.6666666666666666,4,60,52,216,54.0,3.4641016151377544,60,3,60,52,164,54.666666666666664,3.7712361663282468,60,
147.32.84.170,147.32.80.9,38879,53,17,2,264,60,324,162.0,102.0,0.0003108978271484375,0.0003108978271484375,0.0003108978271484375,0.0003108978271484375,0.0,1,1.0,1,60,60,60,60,0.0,60,1,264,264,264,264,0.0,264,
147.32.84.170,147.32.80.9,50636,53,17,2,312,60,372,186.0,126.0,0.00032401084899902344,0.00032401084899902344,0.00032401084899902344,0.00032401084899902344,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,147.32.80.9,56354,53,17,4,312,60,494,123.5,108.83129145608812,5380.76827788353,0.0003211498260498047,5381.002407073975,1793.6674690246582,2536.4633085349383,3,1.0,2,61,60,121,60.5,0.5,61,2,312,61,373,186.5,125.5,61,
147.32.84.170,209.85.148.147,34140,443,6,92,1470,52,34732,377.5217391304348,528.0556310914695,45.11151099205017,4.0531158447265625e-06,379.6761260032654,4.172265120915005,12.79062655820126,49,0.5384615384615384,45,1470,52,25704,571.2,653.5141110437733,60,47,1104,52,9028,192.08510638297872,258.0910963855579,60,
147.32.84.170,147.32.80.9,40311,53,17,2,312,60,372,186.0,126.0,0.00026702880859375,0.00026702880859375,0.00026702880859375,0.00026702880859375,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,206.19.49.135,57010,80,6,79,1440,52,50152,634.8354430379746,608.5710890186624,44.99538803100586,3.814697265625e-06,307.5635209083557,3.9431220629276376,12.462364754546668,42,0.5384615384615384,34,522,52,6245,183.6764705882353,203.55469283654097,60,45,1440,52,43907,975.7111111111111,590.6724838773824,64,
147.32.84.170,147.32.80.9,59876,53,17,2,312,60,372,186.0,126.0,0.0004210472106933594,0.0004210472106933594,0.0004210472106933594,0.0004210472106933594,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,147.32.80.9,32863,53,17,2,312,60,372,186.0,126.0,0.00041794776916503906,0.00041794776916503906,0.00041794776916503906,0.00041794776916503906,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,2.21.92.124,37425,80,6,38,1467,52,8601,226.3421052631579,417.3215519246891,45.13885498046875,5.0067901611328125e-06,420.7663960456848,11.372064757991481,18.922230980781585,26,0.7027027027027027,21,819,52,3401,161.95238095238096,268.2439323754329,60,17,1467,52,5200,305.88235294117646,537.5492187974584,60,
147.32.84.170,147.32.80.9,54231,53,17,2,312,60,372,186.0,126.0,0.0002300739288330078,0.0002300739288330078,0.0002300739288330078,0.0002300739288330078,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,147.32.80.9,35540,53,17,4,312,60,744,186.0,126.0,5940.015698194504,0.00033283233642578125,5940.016461849213,1980.0054872830708,2800.1500737034453,3,1.0,2,60,60,120,60.0,0.0,60,2,312,312,624,312.0,0.0,312,
147.32.84.170,147.32.80.9,56140,53,17,2,185,67,252,126.0,59.0,0.0003190040588378906,0.0003190040588378906,0.0003190040588378906,0.0003190040588378906,0.0,1,1.0,1,67,67,67,67,0.0,67,1,185,185,185,185,0.0,185,
147.32.84.170,147.32.80.9,47351,53,17,2,312,60,372,186.0,126.0,0.00038695335388183594,0.00038695335388183594,0.00038695335388183594,0.00038695335388183594,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,209.85.148.104,55740,80,6,6,60,52,328,54.666666666666664,3.7712361663282468,0.009219169616699219,7.390975952148438e-05,0.018566131591796875,0.003713226318359375,0.004405874855476817,4,0.8,4,60,52,216,54.0,3.4641016151377544,60,2,60,52,112,56.0,4.0,60,
147.32.84.170,209.85.148.103,49929,80,6,6,60,52,328,54.666666666666664,3.7712361663282468,0.009061813354492188,1.2159347534179688e-05,0.01801013946533203,0.0036020278930664062,0.004355223092480966,4,0.8,4,60,52,216,54.0,3.4641016151377544,60,2,60,52,112,56.0,4.0,60,
147.32.84.170,147.32.80.9,50308,53,17,2,185,67,252,126.0,59.0,0.0002319812774658203,0.0002319812774658203,0.0002319812774658203,0.0002319812774658203,0.0,1,1.0,1,67,67,67,67,0.0,67,1,185,185,185,185,0.0,185,
147.32.84.170,147.32.80.9,43347,53,17,2,312,60,372,186.0,126.0,0.0005919933319091797,0.0005919933319091797,0.0005919933319091797,0.0005919933319091797,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,147.32.80.9,47417,53,17,2,149,67,216,108.0,41.0,0.00019979476928710938,0.00019979476928710938,0.00019979476928710938,0.00019979476928710938,0.0,1,1.0,1,67,67,67,67,0.0,67,1,149,149,149,149,0.0,149,
147.32.84.170,147.32.80.9,54130,53,17,2,185,67,252,126.0,59.0,0.0004398822784423828,0.0004398822784423828,0.0004398822784423828,0.0004398822784423828,0.0,1,1.0,1,67,67,67,67,0.0,67,1,185,185,185,185,0.0,185,
147.32.84.170,147.32.80.9,48307,53,17,2,487,61,548,274.0,213.0,0.00043511390686035156,0.00043511390686035156,0.00043511390686035156,0.00043511390686035156,0.0,1,1.0,1,61,61,61,61,0.0,61,1,487,487,487,487,0.0,487,
147.32.84.170,209.85.148.105,48303,80,6,6,60,52,328,54.666666666666664,3.7712361663282468,0.009294986724853516,1.3113021850585938e-05,0.018345117568969727,0.0036690235137939453,0.004411121741410753,4,0.8,4,60,52,216,54.0,3.4641016151377544,60,2,60,52,112,56.0,4.0,60,
147.32.84.170,195.24.233.55,55544,80,6,10,384,52,1079,107.9,111.1867348203013,0.12198185920715332,2.3126602172851562e-05,0.22294306755065918,0.024771451950073242,0.03629054260796769,5,0.5555555555555556,5,263,52,479,95.8,83.65739656479874,60,5,384,52,600,120.0,132.03635862897764,60,
147.32.84.170,147.32.80.9,46698,53,17,2,312,60,372,186.0,126.0,0.00029015541076660156,0.00029015541076660156,0.00029015541076660156,0.00029015541076660156,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
147.32.84.170,209.85.148.104,51600,443,6,93,1470,52,34343,369.2795698924731,522.9737419258265,45.111396074295044,3.814697265625e-06,379.75829696655273,4.127807575723399,12.731493377819179,49,0.532608695652174,42,1470,52,25547,608.2619047619048,661.0169315432456,60,51,1105,52,8796,172.47058823529412,230.50969550798376,60,
147.32.84.170,147.32.80.9,45847,53,17,2,264,60,324,162.0,102.0,0.0004000663757324219,0.0004000663757324219,0.0004000663757324219,0.0004000663757324219,0.0,1,1.0,1,60,60,60,60,0.0,60,1,264,264,264,264,0.0,264,
147.32.84.170,147.32.80.9,48895,53,17,2,149,67,216,108.0,41.0,0.00036406517028808594,0.00036406517028808594,0.00036406517028808594,0.00036406517028808594,0.0,1,1.0,1,67,67,67,67,0.0,67,1,149,149,149,149,0.0,149,
147.32.84.170,147.32.80.9,44896,53,17,2,185,67,252,126.0,59.0,0.0003719329833984375,0.0003719329833984375,0.0003719329833984375,0.0003719329833984375,0.0,1,1.0,1,67,67,67,67,0.0,67,1,185,185,185,185,0.0,185,
147.32.84.170,91.189.89.59,40554,443,6,26,1500,52,6695,257.5,430.1841510866641,0.06902480125427246,5.0067901611328125e-06,0.26073503494262695,0.010429401397705079,0.01823249441645895,11,0.44,14,561,52,1723,123.07142857142857,139.31078528943544,60,12,1500,52,4972,414.3333333333333,576.747971147036,60,
147.32.84.170,147.32.80.9,41100,53,17,2,312,60,372,186.0,126.0,0.0003459453582763672,0.0003459453582763672,0.0003459453582763672,0.0003459453582763672,0.0,1,1.0,1,60,60,60,60,0.0,60,1,312,312,312,312,0.0,312,
