sip, dip, sport, dport, proto, n_packets, length_max, length_min, length_sum, length_ave, length_std, interval_max, interval_min, interval_sum, interval_ave, interval_std,n_dir_change, freq_dir_change, go_n_packets, go_length_max, go_length_min, go_length_sum, go_length_ave, go_length_std, go_length_first, back_n_packets, back_length_max, back_length_min, back_length_sum, back_length_ave, back_length_std, back_length_first
147.32.84.165,46.4.36.120,2229,443,6,6,48,40,264,44.0,4.0,0.47110891342163086,0.027305126190185547,1.0086150169372559,0.20172300338745117,0.21348912509781404,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,212.117.171.138,1348,65500,6,39,1500,40,13058,334.8205128205128,553.7980689002858,1.8877689838409424,7.104873657226562e-05,4.673582077026367,0.12298900202700966,0.31094094354733226,22,0.5789473684210527,20,1500,40,10486,524.3,660.0337945893377,48,19,1395,40,2572,135.3684210526316,305.58110483855023,48
147.32.84.165,212.117.171.138,1773,65500,6,126,1500,40,98972,785.4920634920635,691.2488094772233,4.54063606262207,0.00012421607971191406,6.764182806015015,0.05411346244812012,0.4045454385832188,81,0.648,77,1500,40,90511,1175.4675324675325,538.1473168753563,48,49,1500,40,8461,172.6734693877551,398.8384352835016,48
147.32.84.165,46.4.36.120,2234,443,6,6,48,40,264,44.0,4.0,0.4729940891265869,0.02743387222290039,1.0086040496826172,0.20172080993652344,0.21353371483364775,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,46.4.36.120,2137,443,6,6,48,40,264,44.0,4.0,0.4734511375427246,0.02727794647216797,1.0084941387176514,0.20169882774353026,0.21282468387252157,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,46.4.36.120,2161,443,6,6,48,40,264,44.0,4.0,0.473315954208374,0.027284860610961914,1.0086920261383057,0.20173840522766112,0.21365731339352412,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,91.220.0.52,2198,80,6,13,289,40,967,74.38461538461539,75.67291809190642,6.008764028549194,1.4066696166992188e-05,9.383011102676392,0.7819175918896993,1.774239570685613,5,0.4166666666666667,7,289,40,553,79.0,85.81208706070659,48,6,206,40,414,69.0,61.33786215163791,48
147.32.84.165,117.197.22.127,1070,3128,6,3,48,48,144,48.0,0.0,6.008971929550171,2.9255430698394775,8.934514999389648,4.467257499694824,1.5417144298553467,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0
147.32.84.165,46.4.36.120,2226,443,6,6,48,40,264,44.0,4.0,0.47301602363586426,0.02719593048095703,1.0086572170257568,0.20173144340515137,0.21365112170591777,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,209.85.148.105,1575,80,6,591,1470,40,545833,923.575296108291,692.4364379795685,0.7707819938659668,2.86102294921875e-06,5.375268936157227,0.009110625315520723,0.05144415804482179,75,0.1271186440677966,221,633,40,9441,42.71945701357466,39.800327787756444,48,370,1470,40,536392,1449.708108108108,156.98483724056854,48
147.32.84.165,46.4.36.120,2150,443,6,6,48,40,264,44.0,4.0,0.47336506843566895,0.02727985382080078,1.0086748600006104,0.20173497200012208,0.21366103705116893,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,65.54.234.75,1566,80,6,34,1500,40,24122,709.4705882352941,690.5147370448544,0.37687015533447266,4.0531158447265625e-06,1.5373690128326416,0.04658693978280732,0.08508087528044017,15,0.45454545454545453,15,1064,40,2061,137.4,269.61449021395964,48,19,1500,40,22061,1161.1052631578948,577.5039662417314,48
147.32.84.165,46.4.36.120,1644,443,6,6,48,40,264,44.0,4.0,0.4725949764251709,0.02744293212890625,1.0083050727844238,0.20166101455688476,0.2133900300118278,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,66.111.4.72,1941,25,6,3,48,48,144,48.0,0.0,6.008836030960083,3.003906011581421,9.012742042541504,4.506371021270752,1.502465009689331,0,0.0,3,48,48,144,48.0,0.0,48,0,0,0,0,0,0.0,0
147.32.84.165,46.4.36.120,1961,443,6,6,48,40,264,44.0,4.0,0.4719851016998291,0.027377843856811523,1.009031057357788,0.2018062114715576,0.21344238462857454,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
147.32.84.165,46.4.36.120,2044,443,6,6,48,40,264,44.0,4.0,0.45255398750305176,0.027409076690673828,0.9083309173583984,0.18166618347167968,0.190518462243808,5,1.0,3,48,48,144,48.0,0.0,48,3,40,40,120,40.0,0.0,40
