sip, dip, sport, dport, proto, n_packets, length_max, length_min, length_sum, length_ave, length_std, interval_max, interval_min, interval_sum, interval_ave, interval_std,n_dir_change, freq_dir_change, go_n_packets, go_length_max, go_length_min, go_length_sum, go_length_ave, go_length_std, go_length_first, back_n_packets, back_length_max, back_length_min, back_length_sum, back_length_ave, back_length_std, back_length_first
147.32.84.134,2.21.98.110,44893,443,6,19,1500,52,3800,200.0,334.1156433899717,29.787758827209473,6.9141387939453125e-06,35.95668005943298,1.9975933366351657,6.873517742802499,8,0.4444444444444444,11,280,52,1006,91.45454545454545,82.09126145097034,60,8,1500,52,2794,349.25,466.2477211740557,60
147.32.84.134,194.79.52.204,47147,80,6,6,64,40,320,53.333333333333336,7.5424723326564935,18.03515386581421,4.0531158447265625e-06,18.039554119110107,3.6079108238220217,7.21362155612627,3,0.6,3,60,52,164,54.666666666666664,3.7712361663282468,60,3,64,40,156,52.0,9.797958971132712,64
147.32.84.134,2.21.98.110,51039,443,6,18,1500,52,3716,206.44444444444446,341.0998912378442,29.77550506591797,3.0994415283203125e-06,30.036354064941406,1.7668443567612593,7.002334744591447,8,0.47058823529411764,10,250,52,922,92.2,78.43698107398066,60,8,1500,52,2794,349.25,466.2477211740557,60
147.32.84.164,174.129.37.180,60998,80,6,22,1500,52,11706,532.0909090909091,660.1304904810942,44.99497413635254,5.0067901611328125e-06,66.03605198860168,3.144573904219128,9.883293546688902,13,0.6190476190476191,10,559,52,1035,103.5,151.85206616967713,60,12,1500,52,10671,889.25,706.4433363688838,60
147.32.84.164,147.32.80.9,45654,53,17,2,124,58,182,91.0,33.0,0.35440683364868164,0.35440683364868164,0.35440683364868164,0.35440683364868164,0.0,1,1.0,1,58,58,58,58,0.0,58,1,124,124,124,124,0.0,124
147.32.84.134,2.21.98.110,44895,443,6,19,1500,52,3800,200.0,334.1156433899717,29.784564971923828,7.152557373046875e-06,35.956823110580444,1.997601283921136,6.87276353924253,8,0.4444444444444444,11,280,52,1006,91.45454545454545,82.09126145097034,60,8,1500,52,2794,349.25,466.2477211740557,60
147.32.84.134,62.168.44.115,40953,80,6,7,60,40,304,43.42857142857143,6.904597699196887,5.018387794494629,0.0004940032958984375,8.04487681388855,1.3408128023147583,1.9775470558614376,5,0.8333333333333334,4,60,40,180,45.0,8.660254037844387,60,3,44,40,124,41.333333333333336,1.8856180831640932,44
147.32.84.134,147.32.80.9,41223,53,17,2,211,69,280,140.0,71.0,0.00035500526428222656,0.00035500526428222656,0.00035500526428222656,0.00035500526428222656,0.0,1,1.0,1,69,69,69,69,0.0,69,1,211,211,211,211,0.0,211
147.32.84.170,147.32.80.9,38596,53,17,2,185,67,252,126.0,59.0,0.0003139972686767578,0.0003139972686767578,0.0003139972686767578,0.0003139972686767578,0.0,1,1.0,1,67,67,67,67,0.0,67,1,185,185,185,185,0.0,185
147.32.84.170,147.32.80.9,32830,53,17,2,201,61,262,131.0,70.0,0.0002739429473876953,0.0002739429473876953,0.0002739429473876953,0.0002739429473876953,0.0,1,1.0,1,61,61,61,61,0.0,61,1,201,201,201,201,0.0,201
